Universal Eval Epoch 20: Avg_PSNR=39.2278, Avg_SSIM=0.9531, Avg_SAM=0.0403, Avg_ERGAS=1.6638, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 40: Avg_PSNR=39.5443, Avg_SSIM=0.9553, Avg_SAM=0.0390, Avg_ERGAS=1.6125, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 60: Avg_PSNR=39.7192, Avg_SSIM=0.9565, Avg_SAM=0.0383, Avg_ERGAS=1.5862, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 80: Avg_PSNR=39.8138, Avg_SSIM=0.9575, Avg_SAM=0.0374, Avg_ERGAS=1.5626, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 100: Avg_PSNR=39.8090, Avg_SSIM=0.9579, Avg_SAM=0.0373, Avg_ERGAS=1.5539, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 120: Avg_PSNR=39.9575, Avg_SSIM=0.9584, Avg_SAM=0.0373, Avg_ERGAS=1.5407, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 140: Avg_PSNR=40.0018, Avg_SSIM=0.9585, Avg_SAM=0.0369, Avg_ERGAS=1.5415, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 160: Avg_PSNR=39.8513, Avg_SSIM=0.9581, Avg_SAM=0.0375, Avg_ERGAS=1.5539, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 180: Avg_PSNR=40.1028, Avg_SSIM=0.9593, Avg_SAM=0.0364, Avg_ERGAS=1.5199, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 200: Avg_PSNR=40.1041, Avg_SSIM=0.9592, Avg_SAM=0.0367, Avg_ERGAS=1.5231, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 220: Avg_PSNR=40.1994, Avg_SSIM=0.9598, Avg_SAM=0.0365, Avg_ERGAS=1.5143, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 240: Avg_PSNR=40.1634, Avg_SSIM=0.9595, Avg_SAM=0.0365, Avg_ERGAS=1.5183, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 260: Avg_PSNR=40.2233, Avg_SSIM=0.9603, Avg_SAM=0.0360, Avg_ERGAS=1.5037, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 280: Avg_PSNR=40.2255, Avg_SSIM=0.9601, Avg_SAM=0.0362, Avg_ERGAS=1.5069, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
