Universal Eval Epoch 20: Avg_PSNR=39.2825, Avg_SSIM=0.9540, Avg_SAM=0.0394, Avg_ERGAS=1.6403, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 40: Avg_PSNR=39.6536, Avg_SSIM=0.9563, Avg_SAM=0.0382, Avg_ERGAS=1.6004, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 60: Avg_PSNR=39.8041, Avg_SSIM=0.9577, Avg_SAM=0.0375, Avg_ERGAS=1.5697, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 80: Avg_PSNR=40.0477, Avg_SSIM=0.9588, Avg_SAM=0.0368, Avg_ERGAS=1.5325, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 100: Avg_PSNR=40.0107, Avg_SSIM=0.9590, Avg_SAM=0.0370, Avg_ERGAS=1.5332, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 120: Avg_PSNR=40.1948, Avg_SSIM=0.9600, Avg_SAM=0.0362, Avg_ERGAS=1.5119, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 140: Avg_PSNR=40.2896, Avg_SSIM=0.9604, Avg_SAM=0.0359, Avg_ERGAS=1.4999, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 160: Avg_PSNR=40.2631, Avg_SSIM=0.9602, Avg_SAM=0.0358, Avg_ERGAS=1.5089, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 180: Avg_PSNR=40.2947, Avg_SSIM=0.9601, Avg_SAM=0.0365, Avg_ERGAS=1.5070, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 200: Avg_PSNR=40.2923, Avg_SSIM=0.9608, Avg_SAM=0.0357, Avg_ERGAS=1.4895, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 220: Avg_PSNR=40.2989, Avg_SSIM=0.9607, Avg_SAM=0.0356, Avg_ERGAS=1.4878, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 240: Avg_PSNR=40.3808, Avg_SSIM=0.9611, Avg_SAM=0.0355, Avg_ERGAS=1.4851, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 260: Avg_PSNR=40.3502, Avg_SSIM=0.9609, Avg_SAM=0.0357, Avg_ERGAS=1.4878, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 280: Avg_PSNR=40.4262, Avg_SSIM=0.9612, Avg_SAM=0.0355, Avg_ERGAS=1.4823, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
