Universal Eval Epoch 20: Avg_PSNR=39.1262, Avg_SSIM=0.9538, Avg_SAM=0.0404, Avg_ERGAS=1.6499, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 40: Avg_PSNR=39.7166, Avg_SSIM=0.9565, Avg_SAM=0.0385, Avg_ERGAS=1.5940, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 60: Avg_PSNR=39.9088, Avg_SSIM=0.9577, Avg_SAM=0.0375, Avg_ERGAS=1.5606, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 80: Avg_PSNR=39.9112, Avg_SSIM=0.9585, Avg_SAM=0.0368, Avg_ERGAS=1.5481, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 100: Avg_PSNR=40.0474, Avg_SSIM=0.9593, Avg_SAM=0.0367, Avg_ERGAS=1.5332, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 120: Avg_PSNR=40.1234, Avg_SSIM=0.9593, Avg_SAM=0.0363, Avg_ERGAS=1.5195, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 140: Avg_PSNR=40.1782, Avg_SSIM=0.9600, Avg_SAM=0.0366, Avg_ERGAS=1.5121, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 160: Avg_PSNR=40.2185, Avg_SSIM=0.9602, Avg_SAM=0.0362, Avg_ERGAS=1.5052, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 180: Avg_PSNR=40.0389, Avg_SSIM=0.9594, Avg_SAM=0.0371, Avg_ERGAS=1.5336, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 200: Avg_PSNR=40.2975, Avg_SSIM=0.9603, Avg_SAM=0.0359, Avg_ERGAS=1.4961, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 220: Avg_PSNR=40.2961, Avg_SSIM=0.9605, Avg_SAM=0.0360, Avg_ERGAS=1.5002, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 240: Avg_PSNR=40.2465, Avg_SSIM=0.9601, Avg_SAM=0.0361, Avg_ERGAS=1.5140, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 260: Avg_PSNR=40.3189, Avg_SSIM=0.9606, Avg_SAM=0.0358, Avg_ERGAS=1.4928, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 280: Avg_PSNR=40.2403, Avg_SSIM=0.9608, Avg_SAM=0.0359, Avg_ERGAS=1.4984, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 300: Avg_PSNR=40.3662, Avg_SSIM=0.9610, Avg_SAM=0.0356, Avg_ERGAS=1.4898, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 320: Avg_PSNR=40.3659, Avg_SSIM=0.9611, Avg_SAM=0.0354, Avg_ERGAS=1.4813, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 340: Avg_PSNR=40.3398, Avg_SSIM=0.9614, Avg_SAM=0.0356, Avg_ERGAS=1.4882, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 360: Avg_PSNR=40.4167, Avg_SSIM=0.9614, Avg_SAM=0.0354, Avg_ERGAS=1.4783, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 380: Avg_PSNR=40.4495, Avg_SSIM=0.9615, Avg_SAM=0.0355, Avg_ERGAS=1.4742, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 400: Avg_PSNR=40.4377, Avg_SSIM=0.9615, Avg_SAM=0.0354, Avg_ERGAS=1.4742, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 420: Avg_PSNR=40.4859, Avg_SSIM=0.9616, Avg_SAM=0.0352, Avg_ERGAS=1.4707, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 440: Avg_PSNR=40.4857, Avg_SSIM=0.9617, Avg_SAM=0.0352, Avg_ERGAS=1.4702, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 460: Avg_PSNR=40.4956, Avg_SSIM=0.9617, Avg_SAM=0.0352, Avg_ERGAS=1.4702, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 480: Avg_PSNR=40.5031, Avg_SSIM=0.9618, Avg_SAM=0.0352, Avg_ERGAS=1.4685, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 500: Avg_PSNR=40.4948, Avg_SSIM=0.9617, Avg_SAM=0.0352, Avg_ERGAS=1.4695, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 501: Avg_PSNR=40.4948, Avg_SSIM=0.9617, Avg_SAM=0.0352, Avg_ERGAS=1.4695, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
