Universal Eval Epoch 20: Avg_PSNR=38.9601, Avg_SSIM=0.9531, Avg_SAM=0.0409, Avg_ERGAS=1.6817, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 40: Avg_PSNR=39.3149, Avg_SSIM=0.9548, Avg_SAM=0.0394, Avg_ERGAS=1.6415, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 60: Avg_PSNR=39.1627, Avg_SSIM=0.9553, Avg_SAM=0.0391, Avg_ERGAS=1.6314, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 80: Avg_PSNR=39.3581, Avg_SSIM=0.9558, Avg_SAM=0.0395, Avg_ERGAS=1.6290, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 100: Avg_PSNR=39.6847, Avg_SSIM=0.9570, Avg_SAM=0.0379, Avg_ERGAS=1.5884, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 120: Avg_PSNR=39.7739, Avg_SSIM=0.9574, Avg_SAM=0.0378, Avg_ERGAS=1.5726, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 140: Avg_PSNR=39.7057, Avg_SSIM=0.9574, Avg_SAM=0.0379, Avg_ERGAS=1.5730, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 160: Avg_PSNR=39.7956, Avg_SSIM=0.9578, Avg_SAM=0.0375, Avg_ERGAS=1.5735, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 180: Avg_PSNR=39.7768, Avg_SSIM=0.9583, Avg_SAM=0.0372, Avg_ERGAS=1.5590, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 200: Avg_PSNR=39.8426, Avg_SSIM=0.9584, Avg_SAM=0.0373, Avg_ERGAS=1.5553, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 220: Avg_PSNR=39.9295, Avg_SSIM=0.9587, Avg_SAM=0.0370, Avg_ERGAS=1.5453, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 240: Avg_PSNR=39.9695, Avg_SSIM=0.9587, Avg_SAM=0.0371, Avg_ERGAS=1.5424, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 260: Avg_PSNR=39.9495, Avg_SSIM=0.9589, Avg_SAM=0.0372, Avg_ERGAS=1.5410, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 280: Avg_PSNR=39.9598, Avg_SSIM=0.9589, Avg_SAM=0.0367, Avg_ERGAS=1.5355, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 300: Avg_PSNR=40.0362, Avg_SSIM=0.9592, Avg_SAM=0.0368, Avg_ERGAS=1.5335, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 320: Avg_PSNR=40.0958, Avg_SSIM=0.9594, Avg_SAM=0.0365, Avg_ERGAS=1.5282, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 340: Avg_PSNR=39.9588, Avg_SSIM=0.9595, Avg_SAM=0.0366, Avg_ERGAS=1.5355, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 360: Avg_PSNR=40.0836, Avg_SSIM=0.9595, Avg_SAM=0.0366, Avg_ERGAS=1.5275, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
Universal Eval Epoch 380: Avg_PSNR=40.1531, Avg_SSIM=0.9596, Avg_SAM=0.0363, Avg_ERGAS=1.5191, Avg_D_lambda=0.0000, Avg_D_s=0.0000, Avg_QNR=0.0000
